Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  1.600
wind_speed_[m+1s-1]_=_  0.746
averaging_interval_[min]_=_     60
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-4.7080735417748681E-002
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
3.0517578125000000E-004,6.5482785223014667E-004,0.76756730692537556
6.1035156250000000E-004,1.3096557044602933E-003,0.16482747770485076
9.1552734375000000E-004,1.9644835566904402E-003,6.0416114211152477E-002
1.2207031250000000E-003,2.6193114089205867E-003,0.17475770510422473
1.5258789062500000E-003,3.2741392611507335E-003,8.7050078515913745E-003
1.8310546875000000E-003,3.9289671133808804E-003,0.10915022853210531
2.1362304687500000E-003,4.5837949656110264E-003,8.4453981564176439E-002
2.4414062500000000E-003,5.2386228178411733E-003,1.1913257894935617E-002
2.7465820312500000E-003,5.8934506700713202E-003,0.10272851473576501
3.0517578125000000E-003,6.5482785223014671E-003,2.0760299437148369E-002
3.3569335937500000E-003,7.2031063745316140E-003,6.6103929635642378E-002
3.6621093750000000E-003,7.8579342267617609E-003,5.1477113400835404E-002
3.9672851562500000E-003,8.5127620789919069E-003,2.5667890403300486E-002
4.2724609375000000E-003,9.1675899312220529E-003,2.6105516037533028E-002
4.5776367187500000E-003,9.8224177834522006E-003,1.6082436684912552E-002
4.8828125000000000E-003,1.0477245635682347E-002,-5.1531528677167940E-005
5.1879882812500000E-003,1.1132073487912494E-002,4.9766756075015515E-003
5.4931640625000000E-003,1.1786901340142640E-002,-2.4308395669701940E-002
5.7983398437500000E-003,1.2441729192372786E-002,0.11523255949504044
6.1035156250000000E-003,1.3096557044602934E-002,-2.3594450004494064E-002
6.4086914062500000E-003,1.3751384896833080E-002,1.0519315440168514E-002
6.7138671875000000E-003,1.4406212749063228E-002,3.3534442421799156E-002
7.0190429687500000E-003,1.5061040601293374E-002,7.4300502118628464E-003
7.3242187500000000E-003,1.5715868453523522E-002,4.6710987156876049E-002
7.6293945312500000E-003,1.6370696305753666E-002,3.1935071454574041E-002
7.9345703125000000E-003,1.7025524157983814E-002,2.7867216920123842E-002
8.2397460937500000E-003,1.7680352010213961E-002,1.3934427540931773E-002
8.5449218750000000E-003,1.8335179862444106E-002,2.4953500168520999E-002
8.8500976562500000E-003,1.8990007714674254E-002,2.5747757929269397E-002
9.1552734375000000E-003,1.9644835566904401E-002,-1.9882865000694926E-002
9.4604492187500000E-003,2.0299663419134549E-002,-7.7021274078382584E-003
9.7656250000000000E-003,2.0954491271364693E-002,6.6284534348908117E-002
1.0070800781250000E-002,2.1609319123594841E-002,-1.5601224650167689E-002
1.0375976562500000E-002,2.2264146975824989E-002,-7.6885509270501204E-003
1.0681152343750000E-002,2.2918974828055133E-002,-8.7719691687550474E-003
1.0986328125000000E-002,2.3573802680285281E-002,5.5830414651816991E-002
1.1291503906250000E-002,2.4228630532515429E-002,3.4189901446936379E-002
1.1596679687500000E-002,2.4883458384745573E-002,-1.8504093842560496E-002
1.1901855468750000E-002,2.5538286236975721E-002,-8.8613326257945945E-003
1.2207031250000000E-002,2.6193114089205868E-002,-7.1643156487077701E-004
1.2512207031250000E-002,2.6847941941436013E-002,4.4675865002380966E-003
1.2817382812500000E-002,2.7502769793666160E-002,3.0378419291300047E-002
1.3122558593750000E-002,2.8157597645896308E-002,-1.1365714272294030E-002
1.3427734375000000E-002,2.8812425498126456E-002,4.9790259666202534E-002
1.3732910156250000E-002,2.9467253350356600E-002,2.2484950411580480E-003
1.4038085937500000E-002,3.0122081202586748E-002,2.2013225987220251E-002
1.4343261718750000E-002,3.0776909054816896E-002,1.1409584282870157E-002
1.4648437500000000E-002,3.1431736907047043E-002,-1.8274977689180492E-002
1.4953613281250000E-002,3.2086564759277188E-002,-1.6716630112681253E-002
1.5258789062500000E-002,3.2741392611507332E-002,5.6151058608952670E-003
1.5563964843750000E-002,3.3396220463737483E-002,-1.9902075827527623E-004
1.5869140625000000E-002,3.4051048315967627E-002,4.0423920631804673E-002
1.6174316406250000E-002,3.4705876168197772E-002,-4.2508843312996977E-003
1.6479492187500000E-002,3.5360704020427923E-002,2.1694033570629864E-002
1.6784667968750000E-002,3.6015531872658067E-002,-1.2954690237518924E-002
1.7089843750000000E-002,3.6670359724888212E-002,2.3035746873330345E-002
1.7395019531250000E-002,3.7325187577118363E-002,-5.6537626293592061E-002
