Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  1.600
wind_speed_[m+1s-1]_=_  0.833
averaging_interval_[min]_=_     60
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-4.5845104789468101E-003
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
3.0517578125000000E-004,5.8642777981207704E-004,0.80588318458916464
6.1035156250000000E-004,1.1728555596241541E-003,4.4753699185042850E-002
9.1552734375000000E-004,1.7592833394362312E-003,0.23444671388937507
1.2207031250000000E-003,2.3457111192483082E-003,-0.24587608229889782
1.5258789062500000E-003,2.9321388990603851E-003,-7.2341052905009195E-002
1.8310546875000000E-003,3.5185666788724625E-003,9.4916500175405340E-003
2.1362304687500000E-003,4.1049944586845390E-003,0.15993635806896922
2.4414062500000000E-003,4.6914222384966163E-003,0.36139213782724999
2.7465820312500000E-003,5.2778500183086937E-003,-4.2297509842053133E-002
3.0517578125000000E-003,5.8642777981207702E-003,0.17994635065666215
3.3569335937500000E-003,6.4507055779328476E-003,1.5712020839790054E-002
3.6621093750000000E-003,7.0371333577449249E-003,7.0585905007709534E-004
3.9672851562500000E-003,7.6235611375570014E-003,-5.5178083118361393E-002
4.2724609375000000E-003,8.2099889173690779E-003,-0.21948695444329536
4.5776367187500000E-003,8.7964166971811562E-003,6.8507001775705428E-002
4.8828125000000000E-003,9.3828444769932327E-003,-0.14146924426419091
5.1879882812500000E-003,9.9692722568053092E-003,-0.39500412231809828
5.4931640625000000E-003,1.0555700036617387E-002,-0.43535618027053413
5.7983398437500000E-003,1.1142127816429464E-002,-6.8837583879402420E-002
6.1035156250000000E-003,1.1728555596241540E-002,-8.2861996032864940E-002
6.4086914062500000E-003,1.2314983376053619E-002,-1.8056716391424421E-002
6.7138671875000000E-003,1.2901411155865695E-002,-0.33421513617758059
7.0190429687500000E-003,1.3487838935677772E-002,0.65375130585838592
7.3242187500000000E-003,1.4074266715489850E-002,-0.14989223616886277
7.6293945312500000E-003,1.4660694495301926E-002,-0.25481027642012682
7.9345703125000000E-003,1.5247122275114003E-002,-0.47978866731640873
8.2397460937500000E-003,1.5833550054926079E-002,4.0503896660038952E-002
8.5449218750000000E-003,1.6419977834738156E-002,-0.28028940643885608
8.8500976562500000E-003,1.7006405614550236E-002,0.13937583800282180
9.1552734375000000E-003,1.7592833394362312E-002,0.11023068067474102
9.4604492187500000E-003,1.8179261174174389E-002,0.17570631424838343
9.7656250000000000E-003,1.8765688953986465E-002,0.11755989249988202
1.0070800781250000E-002,1.9352116733798542E-002,4.3301006312661906E-002
1.0375976562500000E-002,1.9938544513610618E-002,-0.26889025670249456
1.0681152343750000E-002,2.0524972293422698E-002,-7.5050870206062895E-002
1.0986328125000000E-002,2.1111400073234775E-002,-6.4263107452994413E-003
1.1291503906250000E-002,2.1697827853046851E-002,0.28401893955881119
1.1596679687500000E-002,2.2284255632858928E-002,2.1023920799380570E-002
1.1901855468750000E-002,2.2870683412671004E-002,-0.26394252169808730
1.2207031250000000E-002,2.3457111192483081E-002,0.31108321925545518
1.2512207031250000E-002,2.4043538972295161E-002,5.4026701599737922E-002
1.2817382812500000E-002,2.4629966752107237E-002,0.31070887863748092
1.3122558593750000E-002,2.5216394531919314E-002,-8.8760591277304207E-002
1.3427734375000000E-002,2.5802822311731390E-002,-0.11438327592023921
1.3732910156250000E-002,2.6389250091543467E-002,8.2496395064351920E-003
1.4038085937500000E-002,2.6975677871355543E-002,0.50952857425420428
1.4343261718750000E-002,2.7562105651167620E-002,-2.9724924707720309E-002
1.4648437500000000E-002,2.8148533430979700E-002,1.3781035840548355E-002
1.4953613281250000E-002,2.8734961210791776E-002,0.13802824139412334
1.5258789062500000E-002,2.9321388990603853E-002,-5.4806049891473863E-002
1.5563964843750000E-002,2.9907816770415929E-002,-0.17369060871559774
1.5869140625000000E-002,3.0494244550228006E-002,0.68099194613485836
1.6174316406250000E-002,3.1080672330040082E-002,0.10140578938131772
1.6479492187500000E-002,3.1667100109852159E-002,0.18819764564168814
1.6784667968750000E-002,3.2253527889664235E-002,0.28929469187390588
1.7089843750000000E-002,3.2839955669476312E-002,-0.45243706861674782
1.7395019531250000E-002,3.3426383449288395E-002,-0.14383298517947821
1.7700195312500000E-002,3.4012811229100472E-002,-1.7170845912791017E-002
1.8005371093750000E-002,3.4599239008912548E-002,0.30543216490044650
1.8310546875000000E-002,3.5185666788724625E-002,-0.29448225432450986
1.8615722656250000E-002,3.5772094568536701E-002,2.4816406643443759E-002
1.8920898437500000E-002,3.6358522348348778E-002,0.25802822677017473
1.9226074218750000E-002,3.6944950128160854E-002,-0.52851409600088550
1.9531250000000000E-002,3.7531377907972931E-002,7.4672171154069669E-002
1.9836425781250000E-002,3.8117805687785007E-002,-0.28435428548886749
2.0141601562500000E-002,3.8704233467597084E-002,0.21395878624071291
2.0446777343750000E-002,3.9290661247409160E-002,0.86374172851340647
2.0751953125000000E-002,3.9877089027221237E-002,0.26767458227600155
2.1057128906250000E-002,4.0463516807033313E-002,-0.43359312306113573
2.1362304687500000E-002,4.1049944586845397E-002,-5.1650242271903554E-002
2.1667480468750000E-002,4.1636372366657473E-002,-0.12968332436760427
2.1972656250000000E-002,4.2222800146469550E-002,-1.7816706867028406E-002
2.2277832031250000E-002,4.2809227926281626E-002,-0.25048884342296701
2.2583007812500000E-002,4.3395655706093703E-002,-1.2919350467771684
2.2888183593750000E-002,4.3982083485905779E-002,0.72782524080589794
2.3193359375000000E-002,4.4568511265717856E-002,-3.6393798024099901E-002
2.3498535156250000E-002,4.5154939045529932E-002,0.51719872023579372
2.3803710937500000E-002,4.5741366825342009E-002,5.5201740544582142E-002
2.4108886718750000E-002,4.6327794605154085E-002,8.7068372556963369E-002
2.4414062500000000E-002,4.6914222384966162E-002,-0.62895675513716076
2.4719238281250000E-002,4.7500650164778238E-002,7.2281169329131700E-002
2.5024414062500000E-002,4.8087077944590322E-002,0.22345436837042637
2.5329589843750000E-002,4.8673505724402398E-002,-0.15003677430621085
2.5634765625000000E-002,4.9259933504214475E-002,-0.46229662988898923
2.5939941406250000E-002,4.9846361284026551E-002,0.34885675838486085
2.6245117187500000E-002,5.0432789063838628E-002,0.65010423211556634
2.6550292968750000E-002,5.1019216843650704E-002,0.47424897382401066
2.6855468750000000E-002,5.1605644623462781E-002,6.8634748334770512E-002
2.7160644531250000E-002,5.2192072403274857E-002,0.17919722308088301
2.7465820312500000E-002,5.2778500183086934E-002,0.27836132058585500
2.7770996093750000E-002,5.3364927962899010E-002,-2.6263550127289142E-003
2.8076171875000000E-002,5.3951355742711087E-002,-0.40797433208934358
2.8381347656250000E-002,5.4537783522523163E-002,0.83232975727191028
2.8686523437500000E-002,5.5124211302335240E-002,-0.34551956880954321
2.8991699218750000E-002,5.5710639082147323E-002,3.6190822115916781E-002
2.9296875000000000E-002,5.6297066861959399E-002,-0.31314308058899087
2.9602050781250000E-002,5.6883494641771476E-002,-7.1134972901760907E-002
2.9907226562500000E-002,5.7469922421583552E-002,0.61411523595619777
3.0212402343750000E-002,5.8056350201395629E-002,-9.7192171127439470E-002
3.0517578125000000E-002,5.8642777981207705E-002,4.3782842367204602E-002
3.0822753906250000E-002,5.9229205761019782E-002,0.56674353048357817
3.1127929687500000E-002,5.9815633540831858E-002,-1.2624047420610196
3.1433105468750000E-002,6.0402061320643935E-002,-9.6064993399662887E-002
3.1738281250000000E-002,6.0988489100456011E-002,1.2306544937382964
3.2043457031250000E-002,6.1574916880268088E-002,0.68921641199059125
3.2348632812500000E-002,6.2161344660080164E-002,-0.84506592973324601
3.2653808593750000E-002,6.2747772439892241E-002,-0.83994542161417940
3.2958984375000000E-002,6.3334200219704317E-002,-0.15632680420023568
3.3264160156250000E-002,6.3920627999516394E-002,-0.50022611941492234
3.3569335937500000E-002,6.4507055779328470E-002,0.87829318689606162
3.3874511718750000E-002,6.5093483559140547E-002,0.60052301921366980
3.4179687500000000E-002,6.5679911338952623E-002,-0.76725689697994748
3.4484863281250000E-002,6.6266339118764700E-002,0.89546590854902508
3.4790039062500000E-002,6.6852766898576790E-002,0.19765237494979224
3.5095214843750000E-002,6.7439194678388867E-002,-0.71529545854805998
3.5400390625000000E-002,6.8025622458200943E-002,-0.20409652363738170
3.5705566406250000E-002,6.8612050238013020E-002,-1.3410125936702162
3.6010742187500000E-002,6.9198478017825096E-002,-0.20799912983392041
3.6315917968750000E-002,6.9784905797637173E-002,-0.19132146655497914
3.6621093750000000E-002,7.0371333577449249E-002,-2.9304889861865868E-002
3.6926269531250000E-002,7.0957761357261326E-002,0.50861051436115590
3.7231445312500000E-002,7.1544189137073402E-002,0.67428860421778014
3.7536621093750000E-002,7.2130616916885479E-002,-0.73377973535401031
3.7841796875000000E-002,7.2717044696697555E-002,0.19341972052057080
3.8146972656250000E-002,7.3303472476509632E-002,-1.1673448245081690
3.8452148437500000E-002,7.3889900256321708E-002,0.46052982738193221
3.8757324218750000E-002,7.4476328036133785E-002,-0.19848924932847245
3.9062500000000000E-002,7.5062755815945861E-002,-0.29597572918638160
3.9367675781250000E-002,7.5649183595757938E-002,0.21347277207344820
3.9672851562500000E-002,7.6235611375570014E-002,9.2425045157481525E-002
3.9978027343750000E-002,7.6822039155382091E-002,0.19730962574175892
4.0283203125000000E-002,7.7408466935194167E-002,-0.17031345738888959
4.0588378906250000E-002,7.7994894715006244E-002,-0.40366559233171673
4.0893554687500000E-002,7.8581322494818320E-002,-0.18915612252159686
4.1198730468750000E-002,7.9167750274630397E-002,0.97820526924049378
4.1503906250000000E-002,7.9754178054442473E-002,-0.85270424863248750
4.1809082031250000E-002,8.0340605834254550E-002,-0.31740035915213732
4.2114257812500000E-002,8.0927033614066626E-002,0.70996500345988212
4.2419433593750000E-002,8.1513461393878717E-002,-0.65648282837379568
4.2724609375000000E-002,8.2099889173690793E-002,0.50889621159537157
4.3029785156250000E-002,8.2686316953502870E-002,0.48808930038991183
4.3334960937500000E-002,8.3272744733314946E-002,0.25375746613372313
4.3640136718750000E-002,8.3859172513127023E-002,1.2791926425642750
4.3945312500000000E-002,8.4445600292939099E-002,1.2472990807570479
4.4250488281250000E-002,8.5032028072751176E-002,-1.0659615863916632
4.4555664062500000E-002,8.5618455852563252E-002,-5.3443986308052568E-002
4.4860839843750000E-002,8.6204883632375329E-002,3.9470207407282604E-002
4.5166015625000000E-002,8.6791311412187405E-002,5.1354721835001844E-002
4.5471191406250000E-002,8.7377739191999482E-002,5.9792306125936057E-002
4.5776367187500000E-002,8.7964166971811558E-002,0.22264367733408658
4.6081542968750000E-002,8.8550594751623635E-002,0.32699809287822479
4.6386718750000000E-002,8.9137022531435711E-002,0.33807067266933261
4.6691894531250000E-002,8.9723450311247788E-002,0.20248139045174160
4.6997070312500000E-002,9.0309878091059864E-002,-0.18754264784427357
4.7302246093750000E-002,9.0896305870871941E-002,1.3154101173640713
4.7607421875000000E-002,9.1482733650684017E-002,0.27494719222691771
4.7912597656250000E-002,9.2069161430496094E-002,-0.66513837262220743
4.8217773437500000E-002,9.2655589210308170E-002,0.22161706280199805
4.8522949218750000E-002,9.3242016990120247E-002,0.27818696215396121
4.8828125000000000E-002,9.3828444769932323E-002,0.60427361760619147
4.9133300781250000E-002,9.4414872549744400E-002,0.76020424725307933
4.9438476562500000E-002,9.5001300329556476E-002,-0.12533414983483621
