Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  1.600
wind_speed_[m+1s-1]_=_  2.508
averaging_interval_[min]_=_     60
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-3.9111535362180330E-002
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
3.0517578125000000E-004,1.9466266174734869E-004,0.55631071970887946
6.1035156250000000E-004,3.8932532349469738E-004,0.46098344922507017
9.1552734375000000E-004,5.8398798524204605E-004,6.5635734378259397E-002
1.2207031250000000E-003,7.7865064698939477E-004,1.4923960231369498E-002
1.5258789062500000E-003,9.7331330873674348E-004,0.19405344816116799
1.8310546875000000E-003,1.1679759704840921E-003,0.12663810356104790
2.1362304687500000E-003,1.3626386322314408E-003,3.2837571867862353E-003
2.4414062500000000E-003,1.5573012939787895E-003,7.2747799857456219E-002
2.7465820312500000E-003,1.7519639557261382E-003,0.12391705861345710
3.0517578125000000E-003,1.9466266174734870E-003,1.1418095426205296E-002
3.3569335937500000E-003,2.1412892792208355E-003,-6.2821801544074324E-004
3.6621093750000000E-003,2.3359519409681842E-003,3.8740826629504524E-002
3.9672851562500000E-003,2.5306146027155329E-003,8.0106374421242497E-003
4.2724609375000000E-003,2.7252772644628816E-003,-2.4311038642058132E-002
4.5776367187500000E-003,2.9199399262102303E-003,8.0482754751009314E-002
4.8828125000000000E-003,3.1146025879575791E-003,6.4020266196556375E-002
5.1879882812500000E-003,3.3092652497049278E-003,7.5226132146312087E-003
5.4931640625000000E-003,3.5039279114522765E-003,5.9271481549591932E-003
5.7983398437500000E-003,3.6985905731996252E-003,-4.6678590786291455E-002
6.1035156250000000E-003,3.8932532349469739E-003,4.1567068723532335E-003
6.4086914062500000E-003,4.0879158966943222E-003,3.7292872694210917E-003
6.7138671875000000E-003,4.2825785584416709E-003,5.0399012861835117E-002
7.0190429687500000E-003,4.4772412201890197E-003,3.5777033754385069E-003
7.3242187500000000E-003,4.6719038819363684E-003,7.6519417269405683E-003
7.6293945312500000E-003,4.8665665436837171E-003,2.0187838343696498E-002
