Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  1.600
wind_speed_[m+1s-1]_=_  0.941
averaging_interval_[min]_=_     60
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,3.7861220975274942E-003
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
6.1035156250000000E-004,1.0381738832312012E-003,-0.12552138179287201
1.2207031250000000E-003,2.0763477664624023E-003,-9.1459077677708611E-002
1.8310546875000000E-003,3.1145216496936030E-003,-2.1582527435619041E-002
2.4414062500000000E-003,4.1526955329248046E-003,6.4506143563265228E-002
3.0517578125000000E-003,5.1908694161560054E-003,4.3695177088797894E-002
3.6621093750000000E-003,6.2290432993872061E-003,-7.6349563019474709E-002
4.2724609375000000E-003,7.2672171826184077E-003,3.3494124844796358E-002
4.8828125000000000E-003,8.3053910658496093E-003,8.5807506173330175E-002
5.4931640625000000E-003,9.3435649490808091E-003,-3.5943368714034508E-003
6.1035156250000000E-003,1.0381738832312011E-002,-1.4007414249465120E-002
6.7138671875000000E-003,1.1419912715543212E-002,0.18721520669551267
7.3242187500000000E-003,1.2458086598774412E-002,0.14715560725909682
7.9345703125000000E-003,1.3496260482005614E-002,-2.5405882157881275E-002
8.5449218750000000E-003,1.4534434365236815E-002,-5.7818420367461197E-003
9.1552734375000000E-003,1.5572608248468015E-002,6.4308831502023420E-002
9.7656250000000000E-003,1.6610782131699219E-002,6.2516150513309679E-002
1.0375976562500000E-002,1.7648956014930418E-002,-4.5323006021040217E-002
1.0986328125000000E-002,1.8687129898161618E-002,4.4450288711119508E-002
1.1596679687500000E-002,1.9725303781392822E-002,9.0888851056227862E-003
1.2207031250000000E-002,2.0763477664624021E-002,0.18740839379817892
1.2817382812500000E-002,2.1801651547855221E-002,-4.8412554564114061E-003
1.3427734375000000E-002,2.2839825431086425E-002,0.12249452277632165
1.4038085937500000E-002,2.3877999314317624E-002,0.13006027170469070
1.4648437500000000E-002,2.4916173197548824E-002,0.34346882661418898
1.5258789062500000E-002,2.5954347080780028E-002,-1.7186276011398982E-003
1.5869140625000000E-002,2.6992520964011227E-002,9.1434638602649526E-002
1.6479492187500000E-002,2.8030694847242427E-002,2.6727937685292292E-002
1.7089843750000000E-002,2.9068868730473631E-002,7.0280779655584394E-002
1.7700195312500000E-002,3.0107042613704831E-002,0.19387810489995302
1.8310546875000000E-002,3.1145216496936030E-002,7.1825851152488296E-002
1.8920898437500000E-002,3.2183390380167230E-002,-3.2730281972637096E-002
1.9531250000000000E-002,3.3221564263398437E-002,5.8476479750779131E-002
2.0141601562500000E-002,3.4259738146629637E-002,5.4850471018476031E-002
2.0751953125000000E-002,3.5297912029860837E-002,0.11495555865730755
2.1362304687500000E-002,3.6336085913092037E-002,6.2139375634610229E-002
2.1972656250000000E-002,3.7374259796323236E-002,9.9622828759893770E-002
2.2583007812500000E-002,3.8412433679554436E-002,0.22474825853425981
2.3193359375000000E-002,3.9450607562785643E-002,0.30762116152919566
2.3803710937500000E-002,4.0488781446016843E-002,7.8149112125499756E-002
2.4414062500000000E-002,4.1526955329248043E-002,0.16741624950970302
2.5024414062500000E-002,4.2565129212479243E-002,0.18606859741726559
2.5634765625000000E-002,4.3603303095710443E-002,5.0368820132360326E-002
2.6245117187500000E-002,4.4641476978941642E-002,-9.1089135134365923E-002
2.6855468750000000E-002,4.5679650862172849E-002,9.0337562579648603E-002
2.7465820312500000E-002,4.6717824745404049E-002,0.37007038654797347
2.8076171875000000E-002,4.7755998628635249E-002,3.3188752631802113E-002
2.8686523437500000E-002,4.8794172511866449E-002,-1.1984403762215587E-002
2.9296875000000000E-002,4.9832346395097649E-002,0.16805406641192741
2.9907226562500000E-002,5.0870520278328855E-002,0.44258715971304152
3.0517578125000000E-002,5.1908694161560055E-002,2.5313172016799720E-002
3.1127929687500000E-002,5.2946868044791255E-002,-0.28897193840606555
3.1738281250000000E-002,5.3985041928022455E-002,6.3211837133188231E-002
3.2348632812500000E-002,5.5023215811253655E-002,-0.10994327231525010
