Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  1.600
wind_speed_[m+1s-1]_=_  1.162
averaging_interval_[min]_=_     60
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-2.6400417496867046E-002
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
3.0517578125000000E-004,4.2036860734502650E-004,-2.1728161616831495E-002
6.1035156250000000E-004,8.4073721469005299E-004,-8.3720722615440084E-004
9.1552734375000000E-004,1.2611058220350795E-003,3.5562174132433330E-002
1.2207031250000000E-003,1.6814744293801060E-003,-3.0256037314645264E-002
1.5258789062500000E-003,2.1018430367251324E-003,-2.1691276305424714E-003
1.8310546875000000E-003,2.5222116440701591E-003,3.8028711640397783E-002
2.1362304687500000E-003,2.9425802514151853E-003,1.7852082305602455E-002
2.4414062500000000E-003,3.3629488587602120E-003,-1.0338396199028967E-002
2.7465820312500000E-003,3.7833174661052386E-003,-5.8574278860294600E-003
3.0517578125000000E-003,4.2036860734502648E-003,1.2735541141916320E-002
3.3569335937500000E-003,4.6240546807952915E-003,-9.4059702802863881E-004
3.6621093750000000E-003,5.0444232881403182E-003,-2.1803015856914375E-002
3.9672851562500000E-003,5.4647918954853448E-003,-4.8827215583676633E-003
4.2724609375000000E-003,5.8851605028303706E-003,2.2929699347507992E-002
4.5776367187500000E-003,6.3055291101753973E-003,0.10669964542040940
4.8828125000000000E-003,6.7258977175204239E-003,1.7199906887342282E-004
5.1879882812500000E-003,7.1462663248654506E-003,-2.8453067622340716E-002
5.4931640625000000E-003,7.5666349322104772E-003,-3.8613705651581939E-003
5.7983398437500000E-003,7.9870035395555039E-003,1.3154875551475997E-002
6.1035156250000000E-003,8.4073721469005297E-003,-6.9686980000043895E-003
6.4086914062500000E-003,8.8277407542455572E-003,9.6373717212505702E-003
6.7138671875000000E-003,9.2481093615905830E-003,-3.4767905388476800E-003
7.0190429687500000E-003,9.6684779689356088E-003,-6.2046576726963439E-004
7.3242187500000000E-003,1.0088846576280636E-002,-7.7674635967343404E-003
7.6293945312500000E-003,1.0509215183625662E-002,8.9199001689332594E-003
7.9345703125000000E-003,1.0929583790970690E-002,3.8255296009375633E-002
8.2397460937500000E-003,1.1349952398315715E-002,-5.1557349263435482E-003
8.5449218750000000E-003,1.1770321005660741E-002,-5.9874167993122630E-004
8.8500976562500000E-003,1.2190689613005769E-002,3.4051506739208787E-002
9.1552734375000000E-003,1.2611058220350795E-002,2.2269400625453809E-003
9.4604492187500000E-003,1.3031426827695822E-002,-2.9575693821395310E-002
9.7656250000000000E-003,1.3451795435040848E-002,-7.6787758534314432E-004
1.0070800781250000E-002,1.3872164042385874E-002,4.6026385432331250E-002
