file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,storage_fluxes,vertical_advection_fluxesgas_densities_concentrations_and_timelagsair_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,statistical_flags,,,,,,,,,,,,spikes,,,,variances,,,,covariances
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,H_strg,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,u_var,v_var,w_var,ts_var,w/ts_cov
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],[m+1K+1s-1]
2015-01-06-145940_B2_no.txt,2015-01-06,15:30,6.645,1,18000,18000,0.11262313578664851,2,3.6900088428153377,2,-9999.0,305.98109841579856,305.98109841579856,101300.00000000000,1.1533800221381199,1005.9305961396952,2.5112802095053795E-002,-9999.0,-9999.0,-9999.0,4968.8789961684533,-9999.0,-9999.0,-9999.0,-9999.0,1.0405722218615374,-0.60140249942532908,0.54319999931897789,1.3189168868753731,-1.8347996952362404E-015,2.4380790657967879E-015,1.3189168868753731,4.3595756491804494,120.02592101631751,329.97407898368249,24.321296480955027,-9999.0,0.31248386335759726,0.69045016201118015,-727.16548244015075,-2.2003244634644604E-003,-9999.0,1.0177927880197354E-002,0,29.032884950953999,-4.4058523008942743,9.9660499008496046,24.816873386700554,37.847297765340919,53.081373254078379,79.525569827246329,0.11095017234961760,1.0150785113858065,3.5807262949515755,1.0305196596617392,800009999,800019999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,1,5,0,15,0.77209084417057461,0.35080827888374344,0.25800120096804213,1.8113060549448317E-002,3.0862470164062916E-003
2015-01-06-145940_B2_no.txt,2015-01-06,16:00,6.666,1,17400,17400,9.9478141698858394E-002,2,2.2320642463134690,2,3.2344005239614976E-003,305.98423466298772,305.98423466298772,101300.00000000000,1.1533682003367238,1005.9307004687041,2.5113059496427247E-002,-9999.0,-9999.0,-9999.0,4969.7545172311566,-9999.0,-9999.0,-9999.0,-9999.0,1.0233071831585956,-0.58999310320436471,0.57063505689313743,1.3118208037259154,8.1741351154949889E-015,-1.6550160158876558E-015,1.3118208037259154,4.3087934304138260,119.96582372985858,330.03417627014142,25.784954687611233,-9999.0,0.29368370153185219,0.67882119578798794,-997.95455848445908,-1.6032794142749702E-003,-9999.0,6.5507467426755405E-003,0,27.145653977211179,-4.1194577196451068,9.3182245782706339,23.203696735260127,35.387101586563588,49.630913132628798,74.356151809158703,9.7999847266328002E-002,1.0150846605761836,2.1660067445869928,1.0304973665901820,800009999,800019999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,1,3,0,59,0.73803728436478599,0.35001687054522362,0.26958823666596626,3.5486394977043896E-003,1.8669116618439357E-003
