file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,storage_fluxes,vertical_advection_fluxesgas_densities_concentrations_and_timelagsair_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,statistical_flags,,,,,,,,,,,,spikes,,,,variances,,,,covariances
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,H_strg,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,u_var,v_var,w_var,ts_var,w/ts_cov
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],[m+1K+1s-1]
2013-08-06-170336_E2_1_6m.txt,2013-08-06,17:30,218.729,1,16200,16200,3.7508696795469289E-002,2,4.5090506669088111,2,-9999.0,304.15637792328255,304.15637792328255,101300.00000000000,1.1602994764544281,1005.8708872732145,2.4963041718205046E-002,-9999.0,-9999.0,-9999.0,4481.6259991091583,-9999.0,-9999.0,-9999.0,-9999.0,1.3155086413199468,-0.35756604911966172,0.39966790088935295,1.4206163788552555,-2.0992370042309284E-015,2.4792780345451806E-015,1.4206163788552555,4.2232807093796403,105.20609444822009,344.79390555177986,16.339847068773345,-9999.0,0.17979637835975168,0.45915577131064750,-113.34694004185988,-1.4115952308982563E-002,-9999.0,2.1487794452369553E-002,1,9.2934703969739569,4.0000000000000000,8.0000000000000000,15.000000000000000,25.000000000000000,47.000000000000000,149.00000000000000,3.6953638576936322E-002,1.0150203941995415,4.3740316932377512,1.0308683116950887,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,1,13,0,30,0.55804635940441061,0.21787490190684691,0.14239028131003753,1.3007198437086778E-002,3.7477411786206280E-003
2013-08-06-170336_E2_1_6m.txt,2013-08-06,18:00,218.749,1,18000,18000,3.1731361870627944E-002,2,2.4085788498016942,2,0.45798932735558417,304.59847758060033,304.59847758060033,101300.00000000000,1.1586153971215274,1005.8851720408635,2.4999326185637820E-002,-9999.0,-9999.0,-9999.0,4595.6980193295894,-9999.0,-9999.0,-9999.0,-9999.0,1.3510494432847229,-0.37369305505127692,0.40413444387002162,1.4588713947142942,3.8235153794800258E-015,-1.7171031957419204E-015,1.4588713947142942,4.1722655838222700,105.46115975906613,344.53884024093384,16.082342976106922,-9999.0,0.16549112493719881,0.45174038638461989,-165.47085869528337,-9.6693763035727021E-003,-9999.0,1.2488160119187589E-002,1,10.815708116165929,5.0000000000000000,9.0000000000000000,17.000000000000000,30.000000000000000,56.000000000000000,181.00000000000000,3.1262058070583784E-002,1.0150119291245816,2.3361301448756078,1.0310122726188888,800009999,800019999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,5,12,0,14,0.55130909967909980,0.21331980098544245,0.13885187210469757,2.2686512500623545E-002,2.0045150978374045E-003
