 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  1.600
wind_speed_[m+1s-1]_=_  1.040
averaging_interval_[min]_=_     60
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,3.0517578125000000E-004,4.6934768113750914E-004,6.0981962722399447E-004,9.4803990471755523E-005,6.9411969847708432E-004,0.15442155704038624,-9999.0,-9999.0,-9999.0,-9999.0,1.1673963516969923E-003,2.5897765254280969E-004,-8.9938319568203029E-002,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,6.1035156250000000E-004,9.3869536227501828E-004,1.2302519591711198E-004,4.3426225790100593E-004,1.7657364096790185E-003,3.4557594644878474E-002,-9999.0,-9999.0,-9999.0,-9999.0,3.7283749408716472E-006,-3.8626194450474619E-003,-4.4536432024949203E-002,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,9.1552734375000000E-004,1.4080430434125274E-003,1.3690902213767911E-003,2.6590935503404177E-003,6.2625081726528911E-003,2.7445350441080291E-002,-9999.0,-9999.0,-9999.0,-9999.0,2.3010406667076655E-003,-8.7317197151024362E-003,-0.11849886191666449,-9999.0,-9999.0,-9999.0,-9999.0
1,1.2207031250000000E-003,1.8773907245500366E-003,2.7772156131312779E-003,2.0983517478009627E-003,3.2687696237679422E-003,4.0329873482215395E-002,-9999.0,-9999.0,-9999.0,-9999.0,4.3474943444364979E-003,-2.2584720002757588E-004,-0.10591908036374652,-9999.0,-9999.0,-9999.0,-9999.0
1,1.5258789062500000E-003,2.3467384056875457E-003,5.6569734893775966E-003,8.1650354903273637E-004,2.0574021096944274E-003,3.7802636612046144E-002,-9999.0,-9999.0,-9999.0,-9999.0,6.7315025860597618E-003,5.6939114975205008E-003,-2.7274634185254021E-003,-9999.0,-9999.0,-9999.0,-9999.0
1,1.8310546875000000E-003,2.8160860868250547E-003,1.8826240332682107E-004,8.6767847980737979E-004,6.8840059799202952E-004,4.7001482037133443E-003,-9999.0,-9999.0,-9999.0,-9999.0,-6.8369654023160177E-004,-1.8057001698292565E-003,4.8224330901526277E-003,-9999.0,-9999.0,-9999.0,-9999.0
1,2.1362304687500000E-003,3.2854337679625637E-003,1.7399642269237649E-002,6.5041955427398686E-003,3.3786562933662602E-004,5.0767687940164305E-003,-9999.0,-9999.0,-9999.0,-9999.0,-2.3513263641581584E-003,-1.0196106292241424E-003,-2.8103436067994565E-003,-9999.0,-9999.0,-9999.0,-9999.0
