 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  1.600
wind_speed_[m+1s-1]_=_  1.247
averaging_interval_[min]_=_     60
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,3.0517578125000000E-004,3.9169126601472040E-004,8.5972726668882059E-006,1.5338157787410955E-004,3.3170088204838598E-005,0.12531695145975022,-9999.0,-9999.0,-9999.0,-9999.0,3.4641579705953667E-005,1.4863215920982536E-004,-3.6266656136245343E-002,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,6.1035156250000000E-004,7.8338253202944080E-004,1.3035371782111928E-003,5.0986147362548824E-004,1.2461716359046880E-004,2.1271291855481721E-003,-9999.0,-9999.0,-9999.0,-9999.0,-4.9737353702282807E-004,8.2786304931044784E-004,1.1727928063557940E-003,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,9.1552734375000000E-004,1.1750737980441611E-003,3.0073026929316390E-003,1.2269434385903171E-003,2.3076646024167190E-004,6.3552109792217981E-004,-9999.0,-9999.0,-9999.0,-9999.0,-1.4442161007862781E-003,-2.7638287130183972E-003,3.7984336967849691E-003,-9999.0,-9999.0,-9999.0,-9999.0
1,1.2207031250000000E-003,1.5667650640588816E-003,3.7101858197859505E-003,1.8643366068271405E-003,7.9402094684605923E-005,1.0069075392702260E-002,-9999.0,-9999.0,-9999.0,-9999.0,-9.5561910545732007E-004,-6.9066187300225154E-005,1.7160772558297652E-002,-9999.0,-9999.0,-9999.0,-9999.0
1,1.5258789062500000E-003,1.9584563300736020E-003,3.8646516687361248E-003,4.6716156582552867E-003,1.1964188518406090E-004,2.8072627878671531E-002,-9999.0,-9999.0,-9999.0,-9999.0,3.0348751820648273E-004,3.3182458122092652E-003,3.3966518308867349E-002,-9999.0,-9999.0,-9999.0,-9999.0
1,1.8310546875000000E-003,2.3501475960883223E-003,1.5274268736165494E-002,7.8200301059511948E-004,4.6683394892964450E-003,6.0649728263066308E-003,-9999.0,-9999.0,-9999.0,-9999.0,1.5485713933028052E-002,5.1544632355268894E-003,-6.8037101021883761E-002,-9999.0,-9999.0,-9999.0,-9999.0
