 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  1.600
wind_speed_[m+1s-1]_=_  0.410
averaging_interval_[min]_=_     60
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,3.0517578125000000E-004,1.1907319073409350E-003,3.0160313412709751E-004,4.7563040888886948E-004,4.8379087426346909E-005,0.22220930101799991,-9999.0,-9999.0,-9999.0,-9999.0,1.2096728153126081E-004,8.0739394651528835E-004,3.5425315981189962E-002,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,6.1035156250000000E-004,2.3814638146818700E-003,7.2151114138922377E-004,5.0165784397841902E-004,2.0729225566633353E-003,1.0364705255149114E-002,-9999.0,-9999.0,-9999.0,-9999.0,9.9620361597669649E-004,-3.6739415072109096E-003,-2.9717337195542794E-002,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,9.1552734375000000E-004,3.5721957220228055E-003,1.9820130909102061E-004,8.6266817815660853E-004,2.7250038731644762E-003,2.5975635621255048E-003,-9999.0,-9999.0,-9999.0,-9999.0,4.5686793584335839E-004,3.6377682078239434E-003,-2.2791838132112573E-002,-9999.0,-9999.0,-9999.0,-9999.0
1,1.2207031250000000E-003,4.7629276293637401E-003,1.3628164733077311E-003,5.0548285217581366E-003,2.3159927666095113E-003,7.1235011999254286E-004,-9999.0,-9999.0,-9999.0,-9999.0,-2.1993989966416715E-003,2.3332643872423536E-002,1.2788147191663560E-002,-9999.0,-9999.0,-9999.0,-9999.0
1,1.5258789062500000E-003,5.9536595367046755E-003,3.2461876837733086E-003,7.6515562644263778E-003,8.3766429550003515E-003,4.0117077011269200E-004,-9999.0,-9999.0,-9999.0,-9999.0,1.0967085288257534E-002,1.0334253585097316E-003,-1.1795806772487937E-002,-9999.0,-9999.0,-9999.0,-9999.0
1,1.8310546875000000E-003,7.1443914440456110E-003,1.0293590896112880E-002,6.0117866848534785E-003,1.8026992713348253E-003,1.8409179618596697E-003,-9999.0,-9999.0,-9999.0,-9999.0,1.1472369442494705E-002,-3.0464800026490111E-003,1.6837764557219758E-002,-9999.0,-9999.0,-9999.0,-9999.0
1,2.1362304687500000E-003,8.3351233513865464E-003,5.0306346212553314E-004,2.8679187540661490E-003,1.3739698843419645E-002,3.4047554761491576E-003,-9999.0,-9999.0,-9999.0,-9999.0,4.5254218849371886E-003,3.6874823682363514E-002,-5.9979872662687735E-002,-9999.0,-9999.0,-9999.0,-9999.0
2,2.5939941406250000E-003,1.0121221212397948E-002,5.8684010735131371E-003,6.9294206683312041E-003,4.9409221589017498E-003,1.6640331297690495E-003,-9999.0,-9999.0,-9999.0,-9999.0,5.8746017694553542E-004,-1.2680901615911394E-002,1.0978686529705713E-002,-9999.0,-9999.0,-9999.0,-9999.0
2,3.2043457031250000E-003,1.2502685027079819E-002,5.4017362544002360E-003,1.8071612152934624E-002,3.1116393306164034E-002,2.6121664223166053E-003,-9999.0,-9999.0,-9999.0,-9999.0,2.7864654462723567E-002,5.0597416875058617E-003,2.7869557817292435E-002,-9999.0,-9999.0,-9999.0,-9999.0
3,3.9672851562500000E-003,1.5479514795432156E-002,1.8008653363358187E-002,2.7142230266891047E-002,1.5545724844828067E-002,2.7289124670077033E-003,-9999.0,-9999.0,-9999.0,-9999.0,4.0578231901224233E-002,-4.3474267748431779E-002,-3.7238603196911205E-002,-9999.0,-9999.0,-9999.0,-9999.0
3,4.8828125000000000E-003,1.9051710517454960E-002,9.2626876605855432E-003,1.0755317211668581E-002,1.5471760456053980E-002,5.0763333620100597E-003,-9999.0,-9999.0,-9999.0,-9999.0,2.7976088896567663E-003,5.1317707594511063E-002,-1.6972518098394899E-002,-9999.0,-9999.0,-9999.0,-9999.0
3,5.7983398437500000E-003,2.2623906239477767E-002,3.3434926625532144E-002,9.6726099290358001E-003,1.4626203335542929E-002,3.1428855755214324E-003,-9999.0,-9999.0,-9999.0,-9999.0,4.6981924525006741E-002,-1.2780528507451592E-002,3.8229911754818442E-002,-9999.0,-9999.0,-9999.0,-9999.0
