Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  1.300
wind_speed_[m+1s-1]_=_  0.727
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,1.1652913769238981E-002
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
6.1035156250000000E-004,1.0916118712088988E-003,-3.8656951754335922E-002
1.2207031250000000E-003,2.1832237424177976E-003,4.7037506648940033E-002
1.8310546875000000E-003,3.2748356136266961E-003,-2.6750984894686431E-002
2.4414062500000000E-003,4.3664474848355951E-003,1.2916680750102681E-002
3.0517578125000000E-003,5.4580593560444937E-003,3.5657511343272025E-002
3.6621093750000000E-003,6.5496712272533923E-003,-2.7600798700014372E-002
4.2724609375000000E-003,7.6412830984622909E-003,1.4012321777002457E-002
4.8828125000000000E-003,8.7328949696711903E-003,-1.0838856473673244E-002
5.4931640625000000E-003,9.8245068408800880E-003,5.6876074716585449E-002
6.1035156250000000E-003,1.0916118712088987E-002,6.3428460178248908E-002
6.7138671875000000E-003,1.2007730583297885E-002,0.16446127912249300
7.3242187500000000E-003,1.3099342454506785E-002,-3.9747196426457174E-002
7.9345703125000000E-003,1.4190954325715682E-002,0.13739674961368267
8.5449218750000000E-003,1.5282566196924582E-002,1.5240220520414219E-002
9.1552734375000000E-003,1.6374178068133481E-002,-7.4473933954679009E-002
9.7656250000000000E-003,1.7465789939342381E-002,0.16137171711438034
1.0375976562500000E-002,1.8557401810551277E-002,0.25185077009296647
1.0986328125000000E-002,1.9649013681760176E-002,-6.9166025067163182E-003
1.1596679687500000E-002,2.0740625552969075E-002,-7.5583347014765559E-002
1.2207031250000000E-002,2.1832237424177975E-002,4.6487937157360548E-002
1.2817382812500000E-002,2.2923849295386874E-002,3.0211590429714111E-002
1.3427734375000000E-002,2.4015461166595770E-002,-1.0386628788996991E-002
1.4038085937500000E-002,2.5107073037804670E-002,2.8223972577714501E-002
1.4648437500000000E-002,2.6198684909013569E-002,5.4314986306897598E-003
1.5258789062500000E-002,2.7290296780222469E-002,-0.11531665939950057
1.5869140625000000E-002,2.8381908651431365E-002,-7.4165973993349666E-003
1.6479492187500000E-002,2.9473520522640264E-002,3.4247569743033446E-002
1.7089843750000000E-002,3.0565132393849163E-002,5.5024204034074285E-002
1.7700195312500000E-002,3.1656744265058059E-002,0.16123017405644582
1.8310546875000000E-002,3.2748356136266962E-002,6.4107309807752005E-002
1.8920898437500000E-002,3.3839968007475858E-002,-3.4639194012848632E-003
1.9531250000000000E-002,3.4931579878684761E-002,2.2867633904295481E-002
2.0141601562500000E-002,3.6023191749893657E-002,0.27646193249147705
2.0751953125000000E-002,3.7114803621102553E-002,-8.6398505029437495E-002
2.1362304687500000E-002,3.8206415492311456E-002,-0.14337994258375972
2.1972656250000000E-002,3.9298027363520352E-002,0.29696979372630855
2.2583007812500000E-002,4.0389639234729255E-002,0.26243064303919034
2.3193359375000000E-002,4.1481251105938151E-002,7.1066916033734051E-003
2.3803710937500000E-002,4.2572862977147047E-002,0.48475713403001225
2.4414062500000000E-002,4.3664474848355950E-002,1.3174037278787357E-002
2.5024414062500000E-002,4.4756086719564846E-002,-7.4456706873935463E-002
2.5634765625000000E-002,4.5847698590773749E-002,0.17798031257833560
2.6245117187500000E-002,4.6939310461982645E-002,-0.11202405660046622
2.6855468750000000E-002,4.8030922333191541E-002,1.0397905775014813E-002
2.7465820312500000E-002,4.9122534204400443E-002,0.13064534528263527
2.8076171875000000E-002,5.0214146075609339E-002,2.0165526108705076E-002
2.8686523437500000E-002,5.1305757946818242E-002,8.6393687061934163E-002
2.9296875000000000E-002,5.2397369818027138E-002,1.0262408951677968
2.9907226562500000E-002,5.3488981689236034E-002,0.59132942221349738
3.0517578125000000E-002,5.4580593560444937E-002,0.84322104891016325
3.1127929687500000E-002,5.5672205431653833E-002,0.26487549153003231
3.1738281250000000E-002,5.6763817302862729E-002,0.48978461430659032
3.2348632812500000E-002,5.7855429174071632E-002,5.5724601658300107E-002
3.2958984375000000E-002,5.8947041045280528E-002,0.20604395871314690
3.3569335937500000E-002,6.0038652916489431E-002,-1.2556929695193390E-002
3.4179687500000000E-002,6.1130264787698327E-002,0.14561303691918656
3.4790039062500000E-002,6.2221876658907223E-002,-0.27703796902170125
3.5400390625000000E-002,6.3313488530116119E-002,0.22713736837612161
3.6010742187500000E-002,6.4405100401325022E-002,-0.11023709012179790
3.6621093750000000E-002,6.5496712272533925E-002,0.47005274270892677
3.7231445312500000E-002,6.6588324143742827E-002,0.26765734724779155
3.7841796875000000E-002,6.7679936014951717E-002,-0.27218199445184882
3.8452148437500000E-002,6.8771547886160619E-002,0.65730049690989545
3.9062500000000000E-002,6.9863159757369522E-002,0.51073919558601333
3.9672851562500000E-002,7.0954771628578411E-002,-0.18721179567632648
4.0283203125000000E-002,7.2046383499787314E-002,0.40607229705379705
4.0893554687500000E-002,7.3137995370996217E-002,0.15987712298813772
4.1503906250000000E-002,7.4229607242205106E-002,-0.19536887822383095
4.2114257812500000E-002,7.5321219113414009E-002,0.50834313110275930
4.2724609375000000E-002,7.6412830984622912E-002,1.2202319607878818
4.3334960937500000E-002,7.7504442855831801E-002,0.50293103162450847
4.3945312500000000E-002,7.8596054727040704E-002,-3.6061169760477220E-002
4.4555664062500000E-002,7.9687666598249607E-002,0.56122979808233830
4.5166015625000000E-002,8.0779278469458510E-002,0.35460336703080708
4.5776367187500000E-002,8.1870890340667399E-002,0.71447688812846799
4.6386718750000000E-002,8.2962502211876302E-002,0.13763375397424257
4.6997070312500000E-002,8.4054114083085205E-002,-0.18049432393917639
4.7607421875000000E-002,8.5145725954294094E-002,0.72217279719005079
4.8217773437500000E-002,8.6237337825502997E-002,-5.4678370954100554E-003
4.8828125000000000E-002,8.7328949696711899E-002,1.4243785848761574
