Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  1.000
wind_speed_[m+1s-1]_=_  1.834
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-4.9584397986758165E-004
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
6.1035156250000000E-004,3.3276943724178787E-004,2.7310688631546607
1.2207031250000000E-003,6.6553887448357575E-004,-0.58168328744873854
1.8310546875000000E-003,9.9830831172536367E-004,0.63180123180430325
2.4414062500000000E-003,1.3310777489671515E-003,0.85012743130991397
3.0517578125000000E-003,1.6638471862089395E-003,0.60775703639616396
3.6621093750000000E-003,1.9966166234507273E-003,-0.23186276638032782
4.2724609375000000E-003,2.3293860606925154E-003,0.15667469355630187
4.8828125000000000E-003,2.6621554979343030E-003,1.0046313790823760
5.4931640625000000E-003,2.9949249351760910E-003,-0.26856641455864211
6.1035156250000000E-003,3.3276943724178791E-003,-0.44385934534529670
6.7138671875000000E-003,3.6604638096596671E-003,1.0840145220341584
7.3242187500000000E-003,3.9932332469014547E-003,0.17433517197229981
7.9345703125000000E-003,4.3260026841432427E-003,-8.8985399117231800E-002
8.5449218750000000E-003,4.6587721213850308E-003,0.93395138120348031
9.1552734375000000E-003,4.9915415586268188E-003,-0.35168952936808040
9.7656250000000000E-003,5.3243109958686060E-003,-0.36128609809193185
1.0375976562500000E-002,5.6570804331103940E-003,-0.24140879574023630
1.0986328125000000E-002,5.9898498703521820E-003,-0.53394169838815275
1.1596679687500000E-002,6.3226193075939701E-003,-1.5258203411040305
1.2207031250000000E-002,6.6553887448357581E-003,4.3278989248868673E-002
1.2817382812500000E-002,6.9881581820775461E-003,-0.79036541906276447
1.3427734375000000E-002,7.3209276193193342E-003,-1.2230870652972412
1.4038085937500000E-002,7.6536970565611213E-003,0.17265316725557200
1.4648437500000000E-002,7.9864664938029094E-003,-0.51711667597739197
1.5258789062500000E-002,8.3192359310446974E-003,0.90032610265114654
1.5869140625000000E-002,8.6520053682864854E-003,-0.23347741647476261
1.6479492187500000E-002,8.9847748055282735E-003,-0.58848496202866296
1.7089843750000000E-002,9.3175442427700615E-003,0.40819648512553613
1.7700195312500000E-002,9.6503136800118496E-003,0.88149682196398937
1.8310546875000000E-002,9.9830831172536376E-003,1.1223157096621224
1.8920898437500000E-002,1.0315852554495426E-002,-1.5113476689308130
